start,end,version,power,asset_id,start_time_utc,version_time_utc
1749332700.0,1749333600.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 21:45:00+00:00,2025-06-07 21:45:00+00:00
1749333600.0,1749334500.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 22:00:00+00:00,2025-06-07 21:45:00+00:00
1749334500.0,1749335400.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 22:15:00+00:00,2025-06-07 21:45:00+00:00
1749335400.0,1749336300.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 22:30:00+00:00,2025-06-07 21:45:00+00:00
1749336300.0,1749337200.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 22:45:00+00:00,2025-06-07 21:45:00+00:00
1749337200.0,1749338100.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 23:00:00+00:00,2025-06-07 21:45:00+00:00
1749338100.0,1749339000.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 23:15:00+00:00,2025-06-07 21:45:00+00:00
1749339000.0,1749339900.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 23:30:00+00:00,2025-06-07 21:45:00+00:00
1749339900.0,1749340800.0,1749332700.0,0.0,SOL-DE-001,2025-06-07 23:45:00+00:00,2025-06-07 21:45:00+00:00
1749340800.0,1749341700.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 00:00:00+00:00,2025-06-07 21:45:00+00:00
1749341700.0,1749342600.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 00:15:00+00:00,2025-06-07 21:45:00+00:00
1749342600.0,1749343500.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 00:30:00+00:00,2025-06-07 21:45:00+00:00
1749343500.0,1749344400.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 00:45:00+00:00,2025-06-07 21:45:00+00:00
1749344400.0,1749345300.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 01:00:00+00:00,2025-06-07 21:45:00+00:00
1749345300.0,1749346200.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 01:15:00+00:00,2025-06-07 21:45:00+00:00
1749346200.0,1749347100.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 01:30:00+00:00,2025-06-07 21:45:00+00:00
1749347100.0,1749348000.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 01:45:00+00:00,2025-06-07 21:45:00+00:00
1749348000.0,1749348900.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 02:00:00+00:00,2025-06-07 21:45:00+00:00
1749348900.0,1749349800.0,1749332700.0,0.0,SOL-DE-001,2025-06-08 02:15:00+00:00,2025-06-07 21:45:00+00:00
