delivery_start__utc_,MP-WND-002__kw_
2025-06-08 00:00:00.000000 UTC,3149.764
2025-06-08 00:15:00.000000 UTC,2446.26
2025-06-08 00:30:00.000000 UTC,1806.716
2025-06-08 00:45:00.000000 UTC,2382.308
2025-06-08 01:00:00.000000 UTC,2574.172
2025-06-08 01:15:00.000000 UTC,2110.5
2025-06-08 01:30:00.000000 UTC,1918.636
2025-06-08 01:45:00.000000 UTC,2094.512
2025-06-08 02:00:00.000000 UTC,1870.672
2025-06-08 02:15:00.000000 UTC,991.296
2025-06-08 02:30:00.000000 UTC,799.432
2025-06-08 02:45:00.000000 UTC,943.328
2025-06-08 03:00:00.000000 UTC,687.512
2025-06-08 03:15:00.000000 UTC,367.74
2025-06-08 03:30:00.000000 UTC,447.68
2025-06-08 03:45:00.000000 UTC,863.388
2025-06-08 04:00:00.000000 UTC,895.364
2025-06-08 04:15:00.000000 UTC,1151.184
2025-06-08 04:30:00.000000 UTC,975.308
2025-06-08 04:45:00.000000 UTC,1071.24
2025-06-08 05:00:00.000000 UTC,943.328
2025-06-08 05:15:00.000000 UTC,863.388
2025-06-08 05:30:00.000000 UTC,943.328
2025-06-08 05:45:00.000000 UTC,1167.172
2025-06-08 06:00:00.000000 UTC,1071.24
2025-06-08 06:15:00.000000 UTC,703.5
2025-06-08 06:30:00.000000 UTC,879.376
2025-06-08 06:45:00.000000 UTC,959.32
2025-06-08 07:00:00.000000 UTC,1550.9
2025-06-08 07:15:00.000000 UTC,2030.556
2025-06-08 07:30:00.000000 UTC,1263.104
2025-06-08 07:45:00.000000 UTC,1966.604
2025-06-08 08:00:00.000000 UTC,1646.828
2025-06-08 08:15:00.000000 UTC,4940.488
2025-06-08 08:30:00.000000 UTC,1774.74
2025-06-08 08:45:00.000000 UTC,2526.204
2025-06-08 09:00:00.000000 UTC,2110.5
2025-06-08 09:15:00.000000 UTC,1391.012
2025-06-08 09:30:00.000000 UTC,4668.684
2025-06-08 09:45:00.000000 UTC,1934.624
2025-06-08 10:00:00.000000 UTC,2222.42
2025-06-08 10:15:00.000000 UTC,2686.092
2025-06-08 10:30:00.000000 UTC,4828.568
2025-06-08 10:45:00.000000 UTC,6459.412
2025-06-08 11:00:00.000000 UTC,6187.604
2025-06-08 11:15:00.000000 UTC,4636.704
2025-06-08 11:30:00.000000 UTC,5691.956
2025-06-08 11:45:00.000000 UTC,6427.432
2025-06-08 12:00:00.000000 UTC,6283.536
2025-06-08 12:15:00.000000 UTC,5564.048
2025-06-08 12:30:00.000000 UTC,6443.42
2025-06-08 12:45:00.000000 UTC,5899.808
2025-06-08 13:00:00.000000 UTC,5899.808
2025-06-08 13:15:00.000000 UTC,6219.58
2025-06-08 13:30:00.000000 UTC,6203.592
2025-06-08 13:45:00.000000 UTC,6411.444
2025-06-08 14:00:00.000000 UTC,6283.536
2025-06-08 14:15:00.000000 UTC,5388.172
2025-06-08 14:30:00.000000 UTC,5516.08
2025-06-08 14:45:00.000000 UTC,6443.42
2025-06-08 15:00:00.000000 UTC,5164.332
2025-06-08 15:15:00.000000 UTC,5596.024
2025-06-08 15:30:00.000000 UTC,6027.716
2025-06-08 15:45:00.000000 UTC,5659.98
2025-06-08 16:00:00.000000 UTC,5340.204
2025-06-08 16:15:00.000000 UTC,1870.672
2025-06-08 16:30:00.000000 UTC,2430.272
2025-06-08 16:45:00.000000 UTC,2925.92
2025-06-08 17:00:00.000000 UTC,5084.388
2025-06-08 17:15:00.000000 UTC,4396.876
2025-06-08 17:30:00.000000 UTC,6395.456
2025-06-08 17:45:00.000000 UTC,6219.58
2025-06-08 18:00:00.000000 UTC,4380.888
2025-06-08 18:15:00.000000 UTC,3661.4
2025-06-08 18:30:00.000000 UTC,3197.728
2025-06-08 18:45:00.000000 UTC,5436.136
2025-06-08 19:00:00.000000 UTC,5659.98
2025-06-08 19:15:00.000000 UTC,4940.488
2025-06-08 19:30:00.000000 UTC,4189.024
2025-06-08 19:45:00.000000 UTC,1726.772
2025-06-08 20:00:00.000000 UTC,2446.26
2025-06-08 20:15:00.000000 UTC,1215.136
2025-06-08 20:30:00.000000 UTC,2094.512
2025-06-08 20:45:00.000000 UTC,6107.66
2025-06-08 21:00:00.000000 UTC,3981.172
2025-06-08 21:15:00.000000 UTC,4812.58
2025-06-08 21:30:00.000000 UTC,3485.524
2025-06-08 21:45:00.000000 UTC,2446.26
2025-06-08 22:00:00.000000 UTC,1630.84
2025-06-08 22:15:00.000000 UTC,2318.352
2025-06-08 22:30:00.000000 UTC,2414.284
2025-06-08 22:45:00.000000 UTC,3229.704
2025-06-08 23:00:00.000000 UTC,3933.204
2025-06-08 23:15:00.000000 UTC,4221.0
2025-06-08 23:30:00.000000 UTC,4221.0
2025-06-08 23:45:00.000000 UTC,3405.58
